id,text,document_id,location_id,sentence_id
4045,Dalkeith,6,1101,4045
4046,Little France,6,1102,4046
4047,Dalkeith,6,1101,4047
4048,Dalkeith,6,1101,4048
4049,Dalkeith,6,1101,4049
4051,Haddington,6,1104,4051
4053,Craigmillar,6,1105,4053
4054,Craigmillar,6,1105,4054
4055,Dalkeith,6,1101,4055
4056,Dalkeith,6,1101,4056
4061,Dalkeith,6,1101,4061
4063,Dalkeith,6,1101,4063
4064,Dalkeith,6,1101,4064
4070,Embro,6,714,4070
4071,Embro,6,714,4071
4075,Musselburgh,6,1108,4075
4077,Dalkeith,6,1101,4077
4081,Embro,6,714,4081
4082,Embro,6,714,4082
4094,Embro,6,714,4094
4157,Dalkeith,6,1101,4157
4165,Dalkeith,6,1101,4165
4170,Leith,6,212,4170
4173,Leith,6,212,4173
4174,Dalkeith,6,1101,4174
4176,Port of Leith,6,1123,4176
4178,Dalkeith,6,1101,4178
4179,Dalkeith,6,1101,4179
4180,Dalkeith,6,1101,4180
4182,Carberry,6,1068,4182
4184,Dalkeith,6,1101,4184
4186,Dalkeith,6,1101,4186
4187,Dalkeith,6,1101,4187
4188,Dalkeith,6,1101,4188
4189,Dalkeith,6,1101,4189
4200,Embro,6,714,4200
4206,Musselburgh,6,1108,4206
4207,Embro,6,714,4207
4208,Gladhouse,6,1127,4208
4209,Embro,6,714,4209
4224,Little France,6,1102,4224
4233,Embro,6,714,4233
4244,Dechmont,6,1137,4244
4267,Linlithgow,6,1145,4267
4276,Niddrie,6,1148,4276
4277,Embro,6,714,4277
4284,Embro,6,714,4284
4290,Carberry,6,1068,4290
4292,Black Turnpike,6,1085,4292
4299,Leith,6,212,4299
4306,Drylaw,6,1151,4306
4307,Drylaw,6,1151,4307
4311,Dalkeith,6,1101,4311
4312,Embro,6,714,4312
4313,Leith,6,212,4313
4315,St. Giles',6,1087,4315
4320,Dalkeith,6,1101,4320
4323,Leith,6,212,4323
4324,Canongate,6,206,4324
4325,Canongate,6,206,4325
4333,Drylaw,6,1151,4333
4334,Leith,6,212,4334
4339,Leith,6,212,4339
4355,Leith,6,212,4355
4357,Kirkgate,6,1156,4357
4358,Leith,6,212,4358
4361,Kirkgate,6,1156,4361
4364,Leith,6,212,4364
4399,Edinburgh,7,91,4399
4405,Roslin,7,1166,4405
4417,Edinburgh,7,91,4417
4423,Queen's Theatre,7,1169,4423
4484,Prestonpans,7,1199,4484
4485,Portobello,7,1200,4485
4488,Firth of Forth,7,189,4488
4489,Arthur's Seat,7,1202,4489
4490,Holyrood,7,185,4490
4491,Linlithgow,7,1145,4491
4504,George Hotel,7,1205,4504
4506,George Square,7,1206,4506
4528,George Hotel,7,1205,4528
4529,The George Hotel,7,1214,4529
4542,George Square,7,1206,4542
4581,Tron,7,1090,4581
4584,Forth,7,247,4584
4591,Tron,7,1090,4591
4596,Tron,7,1090,4596
4598,West End,7,700,4598
4599,West End,7,700,4599
4600,George Square,7,1206,4600
4601,George Square,7,1206,4601
4605,George Square,7,1206,4605
4606,Queen Street,7,552,4606
4607,Union Bank of Scotland,7,1235,4607
4608,West End,7,700,4608
4609,West End,7,700,4609
4616,West End,7,700,4616
4618,West End,7,700,4618
4645,Tron,7,1090,4645
4647,Tron,7,1090,4647
4648,Tron,7,1090,4648
4649,Tron,7,1090,4649
4672,Edinburgh,7,91,4672
4678,St. Giles,7,202,4678
4679,St. Giles,7,202,4679
4681,High Street,7,205,4681
4683,Ann Street,7,1257,4683
4684,Jamaica Street,7,1258,4684
4688,Tolbooth,7,949,4688
4689,High Street,7,205,4689
4691,Tolbooth,7,949,4691
4693,St. Giles,7,202,4693
4695,Linlithgow,7,1145,4695
4696,Haddington,7,1104,4696
4704,High Street,7,205,4704
4705,High Street,7,205,4705
4709,High Street,7,205,4709
4713,High Street,7,205,4713
4718,High Street,7,205,4718
4719,High Street,7,205,4719
4721,Tolbooth,7,949,4721
4754,High Street,7,205,4754
4819,Botanic Gardens,7,1296,4819
4864,Boghall,7,1308,4864
5050,Linlithgow,7,1145,5050
5071,Cameron House,7,1341,5071
5074,Arden House,7,1344,5074
5090,Forth,7,247,5090
5108,Merchiston,7,1359,5108
5173,Forth,7,247,5173
5358,Edinburgh,7,91,5358
5530,Edinburgh,7,91,5530
5542,Holyrood,7,185,5542
5609,Linlithgow,7,1145,5609
5611,The Mound,7,1440,5611
5620,Princes Street,7,567,5620
5621,Princes Street,7,567,5621
5622,Holyrood,7,185,5622
5625,Edinburgh,7,91,5625
5626,Auld Reekie,7,186,5626
5627,High Street,7,205,5627
5630,High Street,7,205,5630
5631,Carberry,7,1068,5631
5632,High Street,7,205,5632
5633,Nor' Loch,7,1443,5633
5634,St. Giles,7,202,5634
5635,Moray House,7,1444,5635
5637,Salisbury Crags,7,1445,5637
5638,St. Giles,7,202,5638
5647,High Street,7,205,5647
5648,Edinburgh,7,91,5648
5650,Old Tolbooth,7,1450,5650
5660,West Bow,7,1452,5660
5661,West Port,7,215,5661
5663,Holyrood,7,185,5663
5664,West Port,7,215,5664
5665,West Bow,7,1452,5665
5667,West Port,7,215,5667
5668,West Port,7,215,5668
5669,Castle Terrace,7,1453,5669
5670,Lothian Road,7,1454,5670
5671,Princes Street,7,567,5671
5678,Edinburgh Castle,7,948,5678
5679,Holyrood,7,185,5679
5680,Holyrood,7,185,5680
5682,Holyrood,7,185,5682
5683,Edinburgh,7,91,5683
5685,West Port,7,215,5685
5686,Holyrood,7,185,5686
5687,Holyrood,7,185,5687
5691,Holyrood,7,185,5691
5692,Holyrood,7,185,5692
5694,Holyrood,7,185,5694
5695,Arthur's Seat,7,1202,5695
5696,Salisbury Crags,7,1445,5696
5698,Holyrood,7,185,5698
5699,Holyrood,7,185,5699
5700,Holyrood,7,185,5700
5701,Mons Meg,7,219,5701
5702,Princes Street,7,567,5702
5704,Forth,7,247,5704
5705,Old Town,7,90,5705
5706,Arthur's Seat,7,1202,5706
5707,Calton Hill,7,188,5707
5708,Salisbury Crags,7,1445,5708
