id,text_x,document_id,location_id,text,lat,lon,title,forename,surname,pubyear,gender,genre
1444,Stockbridge,3,526,Stockbridge,55.957963,-3.2094115,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1444,Stockbridge,3,526,Stockbridge,55.957963,-3.2094115,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1443,Danube Street,3,527,Danube Street,55.9568,-3.212,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1443,Danube Street,3,527,Danube Street,55.9568,-3.212,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1439,Heriot Row,3,538,Heriot Row,55.9553,-3.2023,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1439,Heriot Row,3,538,Heriot Row,55.9553,-3.2023,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1437,Frederick Street,3,551,Frederick Street,55.9529,-3.2004,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1437,Frederick Street,3,551,Frederick Street,55.9529,-3.2004,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1438,Queen Street,3,552,Queen Street,55.9546,-3.2002,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1438,Queen Street,3,552,Queen Street,55.9546,-3.2002,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1452,Cowgate,3,555,Cowgate,55.9487,-3.1876,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1452,Cowgate,3,555,Cowgate,55.9487,-3.1876,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1453,Prince's Street,3,556,Prince's Street,55.9511,-3.2014,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1453,Prince's Street,3,556,Prince's Street,55.9511,-3.2014,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1489,Canongate,3,564,Canongate,55.9523547,-3.1761031,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1489,Canongate,3,564,Canongate,55.9523547,-3.1761031,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1501,Princes Street,3,567,Princes Street,55.9518,-3.1985,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1501,Princes Street,3,567,Princes Street,55.9518,-3.1985,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
3107,Old Town,5,90,Old Town,55.9471293,-3.2002511,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,non-fiction
3107,Old Town,5,90,Old Town,55.9471293,-3.2002511,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,travel
2865,Edinburgh,5,91,Edinburgh,55.949428,-3.192704,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,non-fiction
2865,Edinburgh,5,91,Edinburgh,55.949428,-3.192704,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,travel
3108,Calton Hill,5,188,Calton Hill,55.9556726,-3.1824089,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,non-fiction
3108,Calton Hill,5,188,Calton Hill,55.9556726,-3.1824089,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,travel
2824,High Street,5,205,High Street,55.9501,-3.1882,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,non-fiction
2824,High Street,5,205,High Street,55.9501,-3.1882,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,travel
3103,Holyrood Palace,5,207,Holyrood Palace,55.952512,-3.173385,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,non-fiction
3103,Holyrood Palace,5,207,Holyrood Palace,55.952512,-3.173385,England from a Back-Window, James Montgomery,Bailey,1878-01-01,m,travel
